trackName,lyric_line,lyric_full
青花瓷 DEMO,['無歌詞'],無歌詞
晴天 DEMO,['無歌詞'],無歌詞
擱淺 DEMO,"['窗外的美麗蝴蝶', '我真的看不見退回', '衝動 熟悉的真的感覺', '衝動齊衝去窗外', '我真麽感受這不來', '許我就愛', '就記得較近挽台', '差點擡頭看的承諾', '我記得記得確定', '我真的看不見', '我真的太想來', '雨下整夜我愛沒重來', '院子落葉厚厚一疊', '你幾句化身對待', '我真的較見空間不來', '我睜開雙眼看著空白', '我綁起得重頭醒來', '我等不離開', '你怎麽毀壞', '寫一個空間蒼白', '我真的看不懂簡單', '始終 往事地鐵空曠來', '雨下整夜 傾照霾', '我真正守著這無奈', '始終無礙 糾著臉揪著釋懷', '我真的給了個等待', '我真的無法來給', '我怎麼學得會 妳危急這無奈', '我睜開雙眼看著空白', '懷疑空著位留妳給', '我怎麼學得會', '我憎我疚我不能信賴', '我睜開雙眼看著空白', '我的一切等待期待', '給了我等待 卻等了空', '我 睜開雙眼看著空白', '忘記妳正等著期待', '我怎麼學得會', '我真的睜眼望著妳愛', '我睜開雙眼看著等待', '為了記得記得空白', '我等待離開 我真的重來']",窗外的美麗蝴蝶我真的看不見退回衝動熟悉的真的感覺衝動齊衝去窗外我真麽感受這不來許我就愛就記得較近挽台差點擡頭看的承諾我記得記得確定我真的看不見我真的太想來雨下整夜我愛沒重來院子落葉厚厚一疊你幾句化身對待我真的較見空間不來我睜開雙眼看著空白我綁起得重頭醒來我等不離開你怎麽毀壞寫一個空間蒼白我真的看不懂簡單始終往事地鐵空曠來雨下整夜傾照霾我真正守著這無奈始終無礙糾著臉揪著釋懷我真的給了個等待我真的無法來給我怎麼學得會妳危急這無奈我睜開雙眼看著空白懷疑空著位留妳給我怎麼學得會我憎我疚我不能信賴我睜開雙眼看著空白我的一切等待期待給了我等待卻等了空我睜開雙眼看著空白忘記妳正等著期待我怎麼學得會我真的睜眼望著妳愛我睜開雙眼看著等待為了記得記得空白我等待離開我真的重來
Intro,[],
最偉大的作品,"['哥穿著復古西裝 拿著手杖 彈著魔法樂章', '漫步走在 莎瑪麗丹 被歲月 翻新的時光', '望不到邊界的帝國 用音符築成的王座', '我用琴鍵穿梭 1920錯過的不朽', '啊 偏執是那馬格利特 被我變出的蘋果', '超現實的是我 還是他原本想畫的小丑', '不是煙斗的煙斗 臉上的鴿子沒有飛走', '請你記得 他是個畫家 不是 什麼調酒', '達利翹鬍是誰給他的思索 彎了湯匙借你靈感不用還我', '融化的是牆上時鐘還是乳酪 龍蝦電話那頭你都不回我', '浪蕩是世俗畫作裡最自由不拘的水墨', '花都優雅的雙腿是這宇宙筆下的一抹', '飄洋過海的鄉愁種在一無所有的溫柔', '寂寞的枝頭才能長出 常玉要的花朵', '小船靜靜往返 馬諦斯的海岸', '星空下的夜晚 交給梵谷點燃', '夢美的太短暫 孟克橋上吶喊', '這世上的熱鬧 出自孤單', '花園流淌的陽光 空氣搖晃著花香', '我請莫內幫個忙 能不能來張自畫像', '大師眺望著遠方 研究色彩的形狀', '突然回頭要我說說我對我自己的印象', '世代的狂 音樂的王 萬物臣服在我樂章', '路還在闖 我還在創 指尖的旋律在渴望', '世代的狂 音樂的王 我想我不需要畫框', '它框不住 琴鍵的速度 我的音符 全部是未來藝術', '日出在印象的港口來回 光線喚醒了睡著的花葉', '草地正為一場小雨歡悅 我們彼此深愛這個世界', '停在康橋上的那隻蝴蝶 飛往午夜河畔的翡冷翠', '遺憾被偶然藏在了詩頁 是微笑都透不進的世界', '巴黎的鱗爪 感傷的文法 要用音樂翻閱', '晚風的燈下 旅人的花茶 我換成了咖啡', '之後他就 愛上了苦澀這個複雜詞彙', '因為這才是揮手 向雲彩道別的滋味', '小船靜靜往返 馬諦斯的海岸', '星空下的夜晚 交給梵谷點燃', '夢美的太短暫 孟克橋上吶喊', '這世上的熱鬧 出自孤單']",哥穿著復古西裝拿著手杖彈著魔法樂章漫步走在莎瑪麗丹被歲月翻新的時光望不到邊界的帝國用音符築成的王座我用琴鍵穿梭1920錯過的不朽啊偏執是那馬格利特被我變出的蘋果超現實的是我還是他原本想畫的小丑不是煙斗的煙斗臉上的鴿子沒有飛走請你記得他是個畫家不是什麼調酒達利翹鬍是誰給他的思索彎了湯匙借你靈感不用還我融化的是牆上時鐘還是乳酪龍蝦電話那頭你都不回我浪蕩是世俗畫作裡最自由不拘的水墨花都優雅的雙腿是這宇宙筆下的一抹飄洋過海的鄉愁種在一無所有的溫柔寂寞的枝頭才能長出常玉要的花朵小船靜靜往返馬諦斯的海岸星空下的夜晚交給梵谷點燃夢美的太短暫孟克橋上吶喊這世上的熱鬧出自孤單花園流淌的陽光空氣搖晃著花香我請莫內幫個忙能不能來張自畫像大師眺望著遠方研究色彩的形狀突然回頭要我說說我對我自己的印象世代的狂音樂的王萬物臣服在我樂章路還在闖我還在創指尖的旋律在渴望世代的狂音樂的王我想我不需要畫框它框不住琴鍵的速度我的音符全部是未來藝術日出在印象的港口來回光線喚醒了睡著的花葉草地正為一場小雨歡悅我們彼此深愛這個世界停在康橋上的那隻蝴蝶飛往午夜河畔的翡冷翠遺憾被偶然藏在了詩頁是微笑都透不進的世界巴黎的鱗爪感傷的文法要用音樂翻閱晚風的燈下旅人的花茶我換成了咖啡之後他就愛上了苦澀這個複雜詞彙因為這才是揮手向雲彩道別的滋味小船靜靜往返馬諦斯的海岸星空下的夜晚交給梵谷點燃夢美的太短暫孟克橋上吶喊這世上的熱鬧出自孤單
還在流浪,"['老書攤  和啤酒空罐  散落地上', '報廢的回憶在路旁  有了鏽斑', '有某種無所謂  在這小鎮瀰漫', '這個城市步調  是如此的緩慢', '霓虹燈閃爍的倒影  靠在窗上', '錯過美好的那時光  能否再遇上', '老舊的車站  空曠的車廂', '懷念從前的人來人往', '招牌的燈泡  在夜裡微亮', '過去的背包  就留在異鄉', '於是我決定  離開這個地方', '當你收到信  我還在流浪', '那年的約定  都放在心上', '隨身的照片裡  你微笑的模樣', '親愛的  你現在怎麼樣', '當你收到信  我還在流浪', '想起牽著手  走過的小巷', '我依然記得  年少初吻的那教堂', '還有一起畫愛心  的那道牆']",老書攤和啤酒空罐散落地上報廢的回憶在路旁有了鏽斑有某種無所謂在這小鎮瀰漫這個城市步調是如此的緩慢霓虹燈閃爍的倒影靠在窗上錯過美好的那時光能否再遇上老舊的車站空曠的車廂懷念從前的人來人往招牌的燈泡在夜裡微亮過去的背包就留在異鄉於是我決定離開這個地方當你收到信我還在流浪那年的約定都放在心上隨身的照片裡你微笑的模樣親愛的你現在怎麼樣當你收到信我還在流浪想起牽著手走過的小巷我依然記得年少初吻的那教堂還有一起畫愛心的那道牆
說好不哭,"['說妳怎麼了  說妳怎麼過  放不下的人是我', '人多的時候  就待在角落  就怕別人問起我', '你們怎麼了  妳低著頭  護著我連抱怨都沒有', '電話開始躲  從不對我說  不習慣一個人生活', '離開我以後  要我好好過  怕打擾想自由的我', '都這個時候  妳還在意著  別人是怎麼怎麼看我的', '拼命解釋著  不是我的錯  是妳要走', '眼看著妳難過  挽留的話卻沒有說', '妳會微笑放手  說好不哭讓我走', '離開我以後  要我好好過  怕打擾想自由的我', '拼命解釋著  不是我的錯  是妳要走', '合∕眼看著妳難過  挽留的話卻沒有說', '妳會微笑放手  說好不哭讓我走']",說妳怎麼了說妳怎麼過放不下的人是我人多的時候就待在角落就怕別人問起我你們怎麼了妳低著頭護著我連抱怨都沒有電話開始躲從不對我說不習慣一個人生活離開我以後要我好好過怕打擾想自由的我都這個時候妳還在意著別人是怎麼怎麼看我的拼命解釋著不是我的錯是妳要走眼看著妳難過挽留的話卻沒有說妳會微笑放手說好不哭讓我走離開我以後要我好好過怕打擾想自由的我拼命解釋著不是我的錯是妳要走合∕眼看著妳難過挽留的話卻沒有說妳會微笑放手說好不哭讓我走
紅顏如霜,"['信劄拆封誰為難 不過寥寥數行', '娟秀字跡溫柔 卻感傷', '妳將心事 上了淡妝', '該說的話 卻被仔細收藏', '暮色望垂楊 拱橋粼粼月光', '憶往事我走筆 也闌珊', '紅顏如霜 凝結了過往', '蘆葦花開歲已寒 若霜又降路遙漫長', '牆外是誰在吟唱 鳳求凰', '梨園台上 西皮二黃', '卻少了妳 無人問暖', '誰在彼岸 天涯一方', '一句甚安勿念 妳說落筆太難', '窗外古琹幽蘭 琴聲平添孤單', '我墨走了幾行 淚潸然落了款', '思念徒留紙上 一整篇被暈染', '一句甚安勿念 妳說落筆太難', '何故遠走瀟湘 妳卻語多委婉', '走過蕭瑟秋涼 等來芒草催黃', '而我遙望輕輕嘆', '信劄拆封誰為難 不過寥寥數行', '娟秀字跡溫柔 卻感傷', '妳將心事 上了淡妝', '該說的話 卻被仔細收藏', '捎來的他鄉 到底隔幾條江', '一封信到底轉了 幾道彎', '緣分飄落 在山外山', '蘆葦花開歲已寒 若霜又降路遙漫長', '牆外是誰在吟唱 鳳求凰', '梨園台上 西皮二黃', '卻少了妳 無人問暖', '誰在彼岸 天涯一方', '一句甚安勿念 妳說落筆太難', '窗外古琹幽蘭 琴聲平添孤單', '我墨走了幾行 淚潸然落了款', '思念徒留紙上 一整篇被暈染', '一句甚安勿念 妳說落筆太難', '何故遠走瀟湘 妳卻語多委婉', '走過蕭瑟秋涼 等來芒草催黃', '而我遙望輕輕嘆', '一句甚安勿念 妳說落筆太難(妳說落筆太難)', '窗外古琹幽蘭 琴聲平添孤單(琴聲平添孤單)', '我墨走了幾行 淚潸然落了款(淚潸然落了款)', '思念徒留紙上 一整篇被暈染', '一句甚安勿念 妳說落筆太難', '何故遠走瀟湘 妳卻語多委婉', '走過蕭瑟秋涼 等來芒草催黃', '而魚雁不再往返']",信劄拆封誰為難不過寥寥數行娟秀字跡溫柔卻感傷妳將心事上了淡妝該說的話卻被仔細收藏暮色望垂楊拱橋粼粼月光憶往事我走筆也闌珊紅顏如霜凝結了過往蘆葦花開歲已寒若霜又降路遙漫長牆外是誰在吟唱鳳求凰梨園台上西皮二黃卻少了妳無人問暖誰在彼岸天涯一方一句甚安勿念妳說落筆太難窗外古琹幽蘭琴聲平添孤單我墨走了幾行淚潸然落了款思念徒留紙上一整篇被暈染一句甚安勿念妳說落筆太難何故遠走瀟湘妳卻語多委婉走過蕭瑟秋涼等來芒草催黃而我遙望輕輕嘆信劄拆封誰為難不過寥寥數行娟秀字跡溫柔卻感傷妳將心事上了淡妝該說的話卻被仔細收藏捎來的他鄉到底隔幾條江一封信到底轉了幾道彎緣分飄落在山外山蘆葦花開歲已寒若霜又降路遙漫長牆外是誰在吟唱鳳求凰梨園台上西皮二黃卻少了妳無人問暖誰在彼岸天涯一方一句甚安勿念妳說落筆太難窗外古琹幽蘭琴聲平添孤單我墨走了幾行淚潸然落了款思念徒留紙上一整篇被暈染一句甚安勿念妳說落筆太難何故遠走瀟湘妳卻語多委婉走過蕭瑟秋涼等來芒草催黃而我遙望輕輕嘆一句甚安勿念妳說落筆太難(妳說落筆太難)窗外古琹幽蘭琴聲平添孤單(琴聲平添孤單)我墨走了幾行淚潸然落了款(淚潸然落了款)思念徒留紙上一整篇被暈染一句甚安勿念妳說落筆太難何故遠走瀟湘妳卻語多委婉走過蕭瑟秋涼等來芒草催黃而魚雁不再往返
不愛我就拉倒,"['寒流來了  剛好', '剛好可以  把你手放外套', '把安全帽戴好', '不讓你在  愛情路上跌倒', '加速狂飆  你說不要', '愛的險你不想冒', '不想被套牢', '他的懷抱  真比我好？', '你幸福就好', '不愛我就拉倒', '離開之前', '不要愛的抱抱', '反正  我又不是沒有人要', '哥練的胸肌', '如果你還想靠', '好膽你就麥造', '寒流來了  剛好可以  把你手放外套', '把安全帽戴好  不要在愛情路上跌倒', '加速狂飆  你  你說不要', '愛的險你不想冒  不想被我給套牢', '反正我又不是沒有人要', '哥練的胸肌如果你還想靠', '算了  你幸福你幸福就好', '寒流來了  剛好', '剛好可以  把你手放外套', '把安全帽戴好', '不讓你在  愛情路上跌倒', '加速狂飆  你說不要', '愛的險你不想冒', '不想被套牢', '他的懷抱  真比我好？', '你幸福就好', '不愛我就拉倒', '離開之前', '不要愛的抱抱', '反正  我又不是沒有人要', '哥練的胸肌', '如果你還想靠', '好膽你就麥造', '你幸福就好', '不愛我就拉倒', '離開之前', '不要愛的抱抱', '反正  我又不是沒有人要', '哥練的胸肌', '如果你還想靠', '好膽你就麥造']",寒流來了剛好剛好可以把你手放外套把安全帽戴好不讓你在愛情路上跌倒加速狂飆你說不要愛的險你不想冒不想被套牢他的懷抱真比我好？你幸福就好不愛我就拉倒離開之前不要愛的抱抱反正我又不是沒有人要哥練的胸肌如果你還想靠好膽你就麥造寒流來了剛好可以把你手放外套把安全帽戴好不要在愛情路上跌倒加速狂飆你你說不要愛的險你不想冒不想被我給套牢反正我又不是沒有人要哥練的胸肌如果你還想靠算了你幸福你幸福就好寒流來了剛好剛好可以把你手放外套把安全帽戴好不讓你在愛情路上跌倒加速狂飆你說不要愛的險你不想冒不想被套牢他的懷抱真比我好？你幸福就好不愛我就拉倒離開之前不要愛的抱抱反正我又不是沒有人要哥練的胸肌如果你還想靠好膽你就麥造你幸福就好不愛我就拉倒離開之前不要愛的抱抱反正我又不是沒有人要哥練的胸肌如果你還想靠好膽你就麥造
Mojito,"['我喜歡閱讀她微醺時的眼眸', '而我的咖啡 糖不用太多', '這世界已經因為她甜得過頭', '沒有跟她笑容一樣濃郁的雪茄', '就別浪費時間介紹收起來吧', '拱廊的壁畫 舊城的塗鴉', '所有色彩都因為她說不出話', '這愛不落幕 忘了心事的國度', '妳所在之處 孤單都被征服', '鐵鑄的招牌 錯落著就像', '一封封城市 獻給天空的情書', '這是世上最美麗的那雙人舞', '繽紛的老爺車跟著棕櫚搖曳', '載著海風私奔漫無目的', '古董書攤漫著時光香氣', '我想上輩子是不是就遇過妳', '喧囂的海報躺在 慵懶的閣樓陽台', '而妳是文學家筆下的那一片海', '我喜歡閱讀她微醺時的眼眸', '而我的咖啡 糖不用太多', '這世界已經因為她甜得過頭', '這愛不落幕 忘了心事的國度', '妳所在之處 孤單都被征服', '鐵鑄的招牌 錯落著就像', '一封封城市 獻給天空的情書', '這是世上最美麗的那雙人舞', '鐵鑄的招牌 錯落著就像', '一封封城市 獻給天空的情書', '這是世上最美麗的那雙人舞']",我喜歡閱讀她微醺時的眼眸而我的咖啡糖不用太多這世界已經因為她甜得過頭沒有跟她笑容一樣濃郁的雪茄就別浪費時間介紹收起來吧拱廊的壁畫舊城的塗鴉所有色彩都因為她說不出話這愛不落幕忘了心事的國度妳所在之處孤單都被征服鐵鑄的招牌錯落著就像一封封城市獻給天空的情書這是世上最美麗的那雙人舞繽紛的老爺車跟著棕櫚搖曳載著海風私奔漫無目的古董書攤漫著時光香氣我想上輩子是不是就遇過妳喧囂的海報躺在慵懶的閣樓陽台而妳是文學家筆下的那一片海我喜歡閱讀她微醺時的眼眸而我的咖啡糖不用太多這世界已經因為她甜得過頭這愛不落幕忘了心事的國度妳所在之處孤單都被征服鐵鑄的招牌錯落著就像一封封城市獻給天空的情書這是世上最美麗的那雙人舞鐵鑄的招牌錯落著就像一封封城市獻給天空的情書這是世上最美麗的那雙人舞
